City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
jizan,17.33,42.67,91.4,70,40,9.17,SA,1601396865
van buren,35.44,-94.35,64.4,55,1,6.93,US,1601396578
jega,12.22,4.38,92.21,47,99,3.94,NG,1601396866
punta alta,-38.88,-62.07,70.68,39,100,19.86,AR,1601396866
sisimiut,66.94,-53.67,31.41,95,100,3.31,GL,1601396867
constitucion,-35.33,-72.42,53.17,71,100,15.43,CL,1601396867
ambulu,-8.35,113.61,75.4,88,23,3.13,ID,1601396868
jibuti,11.5,42.5,87.8,74,1,3.36,DJ,1601396868
chumikan,54.72,135.31,44.26,83,99,10.56,RU,1601396868
minsk,53.9,27.57,57.2,82,13,11.18,BY,1601396869
walvis bay,-22.96,14.51,69.8,43,0,5.82,NA,1601396869
eyrarbakki,63.86,-21.15,44.6,81,75,8.05,IS,1601396870
poum,-20.23,164.02,69.58,74,32,19.57,NC,1601396870
ponferrada,42.55,-6.6,75.0,37,0,1.99,ES,1601396770
riyadh,24.69,46.72,93.2,14,0,6.93,SA,1601396758
touros,-5.2,-35.46,86.0,48,8,18.34,BR,1601396871
dhidhdhoo,6.88,73.1,82.13,75,96,11.48,MV,1601396871
mahibadhoo,3.78,72.97,83.01,73,100,7.83,MV,1601396872
alpena,45.06,-83.43,59.0,62,75,11.41,US,1601396872
tateyama,34.98,139.87,66.2,59,75,13.87,JP,1601396786
jiblah,13.92,44.15,66.47,77,17,2.08,YE,1601396872
kismayo,-0.36,42.55,78.35,77,100,12.57,SO,1601396873
smithers,54.78,-127.17,46.4,100,75,1.36,CA,1601396873
dunedin,-45.87,170.5,39.0,79,96,5.01,NZ,1601396656
kyabe,9.45,18.94,80.01,82,60,3.24,TD,1601396874
bairiki,1.33,172.98,80.6,78,75,8.05,KI,1601396874
sinop,41.77,34.87,75.2,100,75,8.05,TR,1601396875
lipari,38.47,14.95,71.01,75,72,15.55,IT,1601396875
snyder,32.72,-100.92,68.0,20,1,11.41,US,1601396875
hami,42.8,93.45,55.63,37,54,23.49,CN,1601396876
taoudenni,22.68,-3.98,110.79,6,0,15.64,ML,1601396876
alta floresta,-9.88,-56.09,93.2,49,53,5.82,BR,1601396877
lerwick,60.15,-1.15,53.6,81,20,5.82,GB,1601396685
curillo,1.03,-75.92,91.47,47,14,3.06,CO,1601396877
saint-francois,46.42,3.91,63.0,72,90,5.82,FR,1601396878
caravelas,-17.71,-39.25,84.07,58,0,10.83,BR,1601396878
birao,10.28,22.79,79.72,82,81,4.92,CF,1601396878
tuatapere,-46.13,167.68,41.0,83,89,13.0,NZ,1601396879
uruzgan,32.83,66.0,55.17,39,0,5.95,AF,1601396879
mihai viteazu,46.53,23.75,55.4,93,90,11.41,RO,1601396879
khandyga,62.67,135.6,38.91,90,83,4.88,RU,1601396880
aitape,-3.14,142.35,79.57,84,45,5.03,PG,1601396880
manta,-0.95,-80.73,73.4,83,90,10.29,EC,1601396777
tucuman,-26.82,-65.22,84.2,23,0,9.17,AR,1601396631
soto la marina,23.77,-98.22,77.04,41,88,16.31,MX,1601396881
yar-sale,66.83,70.83,40.24,78,100,8.46,RU,1601396882
humberto de campos,-2.6,-43.46,91.89,47,39,11.61,BR,1601396867
da lat,11.95,108.44,61.23,100,99,3.47,VN,1601396883
hovd,48.01,91.64,40.03,64,100,3.0,MN,1601396883
wrexham,53.0,-3.0,61.0,59,40,5.82,GB,1601396883
timmins,48.47,-81.33,53.6,87,90,6.93,CA,1601396883
aklavik,68.22,-135.01,33.8,100,90,2.24,CA,1601396884
rio gallegos,-51.62,-69.22,42.8,30,90,20.8,AR,1601396870
santa vitoria do palmar,-33.52,-53.37,65.41,49,0,5.19,BR,1601396884
penedo,-10.29,-36.59,83.93,57,45,12.95,BR,1601396835
haikou,20.05,110.34,78.8,100,85,2.24,CN,1601396885
kanniyakumari,8.08,77.57,80.15,80,95,19.22,IN,1601396886
xuddur,4.12,43.89,86.81,39,93,6.08,SO,1601396886
comodoro rivadavia,-45.87,-67.5,41.0,93,90,8.05,AR,1601396776
rybinsk,58.04,38.84,51.19,70,81,7.14,RU,1601396682
chico,39.73,-121.84,78.8,17,5,1.77,US,1601396887
maragogi,-9.01,-35.22,80.15,64,35,9.55,BR,1601396887
lastoursville,-0.81,12.73,84.58,64,84,2.46,GA,1601396888
likhoslavl,57.13,35.46,54.09,77,65,6.71,RU,1601396888
kalengwa,-13.47,25.0,74.48,53,73,2.77,ZM,1601396889
davila,18.47,120.58,78.8,94,40,3.36,PH,1601396890
miyako,39.64,141.95,56.95,72,100,3.36,JP,1601396890
portoferraio,42.81,10.31,72.0,88,40,11.41,IT,1601396890
hamadan,34.8,48.51,52.25,58,35,6.55,IR,1601396891
kinango,-4.14,39.32,78.8,78,40,5.82,KE,1601396891
myre,69.1,15.95,53.6,87,75,14.99,NO,1601396891
praya,14.92,-23.51,86.0,62,20,14.99,CV,1601396891
vila,42.03,-8.16,73.99,52,0,10.0,PT,1601396892
palmares do sul,-30.26,-50.51,68.56,63,0,12.28,BR,1601396892
harindanga,22.04,88.32,86.0,94,40,4.7,IN,1601396893
quatre cocos,-20.21,57.76,73.4,88,75,8.05,MU,1601396894
leningradskiy,69.38,178.42,33.96,83,74,10.2,RU,1601396894
sandwick,60.0,-1.25,53.6,81,20,5.82,GB,1601396894
zhongshu,24.52,103.77,64.58,94,99,6.04,CN,1601396895
moron,-34.65,-58.62,75.0,31,0,17.22,AR,1601396876
zhangye,38.93,100.45,62.87,46,42,4.9,CN,1601396895
nuuk,64.18,-51.72,33.8,64,20,5.82,GL,1601396896
mnogovershinnyy,53.94,139.92,42.48,98,90,3.71,RU,1601396896
tocopilla,-22.09,-70.2,69.01,49,14,8.75,CL,1601396897
bathsheba,13.22,-59.52,89.6,70,40,20.8,BB,1601396897
isangel,-19.55,169.27,73.4,94,20,13.87,VU,1601396897
pochutla,15.74,-96.47,79.0,78,90,4.74,MX,1601396898
ocos,14.51,-92.19,82.4,88,40,6.93,GT,1601396898
awjilah,29.11,21.29,98.91,12,0,8.88,LY,1601396899
sambulawan,11.2,124.48,78.15,83,99,1.16,PH,1601396899
mogadishu,2.04,45.34,78.53,81,5,14.88,SO,1601396900
oeiras do para,-2.0,-49.85,95.27,37,0,7.09,BR,1601396900
atikokan,48.76,-91.62,47.52,88,100,7.61,CA,1601396730
vestmanna,62.16,-7.17,51.8,81,33,18.34,FO,1601396901
bolu,40.67,31.58,68.22,61,63,2.98,TR,1601396901
puerto carreno,6.19,-67.49,86.0,66,86,5.82,CO,1601396901
sept-iles,50.2,-66.38,60.8,100,75,4.7,CA,1601396822
makokou,0.57,12.86,77.29,88,74,2.55,GA,1601396902
koygorodok,60.45,51.0,49.15,86,80,3.76,RU,1601396902
port blair,11.67,92.75,80.83,82,100,21.27,IN,1601396902
fort nelson,58.81,-122.7,51.8,34,20,19.46,CA,1601396903
whitehorse,60.72,-135.05,26.6,92,20,2.24,CA,1601396840
anloga,5.79,0.9,84.2,74,20,16.11,GH,1601396903
keetmanshoop,-26.58,18.13,75.2,8,0,8.05,NA,1601396904
coquimbo,-29.95,-71.34,62.6,55,20,10.29,CL,1601396795
hay river,60.82,-115.8,48.2,76,75,18.34,CA,1601396905
northam,51.03,-4.22,57.99,76,66,5.99,GB,1601396905
mitsamiouli,-11.38,43.28,78.03,72,41,0.43,KM,1601396905
vila franca do campo,37.72,-25.43,71.6,68,20,17.22,PT,1601396906
morris,40.83,-74.53,72.0,93,76,7.94,US,1601396659
nurobod,40.91,69.8,62.6,33,75,9.17,UZ,1601396906
makakilo city,21.35,-158.09,77.0,78,90,3.36,US,1601396907
jining,35.41,116.58,62.94,82,1,5.7,CN,1601396907
porto de moz,-1.75,-52.24,94.89,41,94,4.83,BR,1601396908
tongzi,28.78,105.09,66.38,83,1,1.12,CN,1601396908
aracuai,-16.85,-42.07,102.36,18,0,5.77,BR,1601396908
badajoz,38.67,-6.17,84.99,22,60,3.0,ES,1601396909
serowe,-22.38,26.72,71.44,53,51,6.98,BW,1601396909
ulverstone,-41.15,146.17,51.01,77,100,5.99,AU,1601396910
pemangkat,1.17,108.97,79.61,79,76,2.68,ID,1601396910
seymchan,62.88,152.43,41.77,67,100,6.35,RU,1601396911
tabou,4.42,-7.35,78.89,85,49,12.26,CI,1601396911
san policarpo,12.18,125.51,79.29,86,100,4.61,PH,1601396911
lawrenceburg,38.04,-84.9,60.01,82,75,4.54,US,1601396912
durusu,41.31,28.68,73.4,68,75,14.99,TR,1601396912
lazaro cardenas,17.96,-102.2,83.61,69,96,7.25,MX,1601396912
toamasina,-18.17,49.38,75.2,83,40,2.24,MG,1601396913
samarai,-10.62,150.67,77.77,84,92,15.43,PG,1601396913
daru,-9.08,143.21,77.47,78,100,18.79,PG,1601396914
mastic beach,40.77,-72.85,73.4,78,90,9.17,US,1601396914
alihe,50.57,123.72,38.16,77,0,2.15,CN,1601396914
bunda,-2.05,33.87,77.0,73,20,11.41,TZ,1601396915
rio grande,-32.03,-52.1,66.0,53,0,3.0,BR,1601396667
tautira,-17.73,-149.15,73.4,88,20,2.24,PF,1601396915
newcastle,-32.93,151.78,57.99,81,75,6.93,AU,1601396916
